transaction_id,user_id,transaction_date,amount,status
T000001,U00001,2025-04-14,1000,success
T000002,U00003,2025-04-05,2000,success
T000003,U00004,2025-01-18,1000,success
T000004,U00008,2025-01-23,1000,success
T000005,U00011,2025-03-31,2000,success
T000006,U00013,2025-03-20,1000,success
T000007,U00016,2025-04-12,2000,success
T000008,U00017,2025-04-15,2000,success
T000009,U00018,2025-01-26,10000,success
T000010,U00020,2025-01-27,20000,success
T000011,U00022,2025-01-04,1000,success
T000012,U00023,2025-03-31,10000,success
T000013,U00025,2025-02-04,20000,success
T000014,U00030,2025-01-26,5000,success
T000015,U00031,2025-02-05,20000,success
T000016,U00033,2025-03-01,2000,success
T000017,U00034,2025-01-24,10000,success
T000018,U00036,2025-04-02,5000,success
T000019,U00038,2025-04-04,2000,success
T000020,U00039,2025-03-04,5000,success
T000021,U00040,2025-02-17,2000,success
T000022,U00041,2025-04-06,1000,success
T000023,U00047,2025-02-18,1000,success
T000024,U00048,2025-03-04,5000,success
T000025,U00050,2025-04-18,5000,success
T000026,U00052,2025-04-29,2000,success
T000027,U00056,2025-02-22,2000,success
T000028,U00058,2025-01-22,1000,success
T000029,U00062,2025-01-08,2000,success
T000030,U00063,2025-03-31,10000,success
T000031,U00064,2025-03-04,10000,success
T000032,U00065,2025-01-17,5000,success
T000033,U00067,2025-01-12,20000,success
T000034,U00071,2025-03-26,10000,success
T000035,U00073,2025-04-23,1000,success
T000036,U00074,2025-03-03,2000,success
T000037,U00079,2025-02-06,1000,success
T000038,U00080,2025-03-21,2000,success
T000039,U00081,2025-03-24,10000,success
T000040,U00083,2025-02-20,1000,success
T000041,U00084,2025-04-14,10000,success
T000042,U00088,2025-02-25,5000,success
T000043,U00095,2025-04-01,5000,success
T000044,U00097,2025-02-06,1000,success
T000045,U00104,2025-01-18,1000,success
T000046,U00105,2025-03-13,5000,success
T000047,U00107,2025-03-30,10000,success
T000048,U00108,2025-03-04,10000,success
T000049,U00112,2025-04-22,5000,success
T000050,U00114,2025-04-25,1000,success
T000051,U00117,2025-01-29,1000,success
T000052,U00120,2025-04-24,10000,success
T000053,U00122,2025-02-02,1000,success
T000054,U00125,2025-03-07,5000,success
T000055,U00127,2025-03-15,2000,success
T000056,U00128,2025-01-11,2000,success
T000057,U00129,2025-03-30,2000,success
T000058,U00131,2025-04-21,20000,success
T000059,U00137,2025-03-25,10000,success
T000060,U00139,2025-02-04,10000,success
T000061,U00143,2025-04-19,2000,success
T000062,U00144,2025-04-13,1000,success
T000063,U00147,2025-01-11,20000,success
T000064,U00151,2025-02-05,1000,success
T000065,U00153,2025-02-17,2000,success
T000066,U00154,2025-05-02,1000,success
T000067,U00156,2025-03-07,2000,success
T000068,U00160,2025-02-16,2000,success
T000069,U00163,2025-04-05,10000,success
T000070,U00165,2025-03-11,20000,success
T000071,U00166,2025-04-14,2000,success
T000072,U00167,2025-04-12,1000,success
T000073,U00171,2025-01-05,5000,success
T000074,U00172,2025-01-08,2000,success
T000075,U00176,2025-04-15,20000,success
T000076,U00181,2025-04-01,1000,success
T000077,U00182,2025-02-14,1000,success
T000078,U00187,2025-04-16,5000,success
T000079,U00189,2025-02-26,10000,success
T000080,U00190,2025-04-10,2000,success
T000081,U00192,2025-04-06,1000,success
T000082,U00196,2025-04-21,2000,success
T000083,U00199,2025-01-29,2000,success
