user_id,signup_date,acquisition_channel,device,country
U00001,2025-04-13,Organic,iOS,Nigeria
U00002,2025-02-21,Facebook Ads,Android,Nigeria
U00003,2025-04-03,Google Ads,Android,Nigeria
U00004,2025-01-15,Google Ads,iOS,Nigeria
U00005,2025-04-17,Google Ads,iOS,Nigeria
U00006,2025-03-13,Facebook Ads,Android,Nigeria
U00007,2025-03-02,Facebook Ads,iOS,Nigeria
U00008,2025-01-21,Google Ads,Android,Nigeria
U00009,2025-04-13,Referral,Android,Nigeria
U00010,2025-03-24,Referral,Android,Nigeria
U00011,2025-03-28,Google Ads,iOS,Nigeria
U00012,2025-03-16,Facebook Ads,Android,Nigeria
U00013,2025-03-16,Google Ads,Android,Nigeria
U00014,2025-03-29,Facebook Ads,Android,Nigeria
U00015,2025-04-27,Organic,iOS,Nigeria
U00016,2025-04-10,Referral,Android,Nigeria
U00017,2025-04-14,Referral,Android,Nigeria
U00018,2025-01-24,Organic,Android,Nigeria
U00019,2025-01-03,Facebook Ads,Android,Nigeria
U00020,2025-01-22,Referral,iOS,Nigeria
U00021,2025-02-22,Facebook Ads,Android,Nigeria
U00022,2025-01-02,Organic,iOS,Nigeria
U00023,2025-03-29,Facebook Ads,Android,Nigeria
U00024,2025-04-18,Referral,iOS,Nigeria
U00025,2025-01-30,Referral,Android,Nigeria
U00026,2025-02-07,Facebook Ads,Android,Nigeria
U00027,2025-01-02,Facebook Ads,Android,Nigeria
U00028,2025-03-05,Referral,iOS,Nigeria
U00029,2025-03-01,Google Ads,iOS,Nigeria
U00030,2025-01-21,Facebook Ads,Android,Nigeria
U00031,2025-02-02,Facebook Ads,iOS,Nigeria
U00032,2025-03-17,Facebook Ads,Android,Nigeria
U00033,2025-02-27,Referral,Android,Nigeria
U00034,2025-01-22,Google Ads,Android,Nigeria
U00035,2025-04-18,Facebook Ads,Android,Nigeria
U00036,2025-03-30,Facebook Ads,iOS,Nigeria
U00037,2025-02-18,Facebook Ads,Android,Nigeria
U00038,2025-04-01,Facebook Ads,Android,Nigeria
U00039,2025-02-28,Google Ads,Android,Nigeria
U00040,2025-02-11,Facebook Ads,Android,Nigeria
U00041,2025-04-02,Facebook Ads,Android,Nigeria
U00042,2025-03-01,Referral,Android,Nigeria
U00043,2025-03-21,Facebook Ads,Android,Nigeria
U00044,2025-01-15,Google Ads,Android,Nigeria
U00045,2025-03-03,Google Ads,Android,Nigeria
U00046,2025-03-03,Google Ads,Android,Nigeria
U00047,2025-02-16,Google Ads,Android,Nigeria
U00048,2025-03-03,Google Ads,Android,Nigeria
U00049,2025-02-20,Referral,Android,Nigeria
U00050,2025-04-18,Google Ads,Android,Nigeria
U00051,2025-02-24,Google Ads,Android,Nigeria
U00052,2025-04-26,Referral,Android,Nigeria
U00053,2025-03-05,Google Ads,Android,Nigeria
U00054,2025-01-03,Facebook Ads,Android,Nigeria
U00055,2025-04-11,Facebook Ads,Android,Nigeria
U00056,2025-02-20,Facebook Ads,iOS,Nigeria
U00057,2025-01-07,Referral,Android,Nigeria
U00058,2025-01-21,Referral,Android,Nigeria
U00059,2025-03-14,Organic,iOS,Nigeria
U00060,2025-02-08,Google Ads,Android,Nigeria
U00061,2025-01-18,Google Ads,iOS,Nigeria
U00062,2025-01-04,Facebook Ads,Android,Nigeria
U00063,2025-03-30,Google Ads,iOS,Nigeria
U00064,2025-03-01,Google Ads,Android,Nigeria
U00065,2025-01-14,Organic,Android,Nigeria
U00066,2025-04-24,Facebook Ads,iOS,Nigeria
U00067,2025-01-09,Google Ads,Android,Nigeria
U00068,2025-03-31,Google Ads,Android,Nigeria
U00069,2025-02-22,Google Ads,iOS,Nigeria
U00070,2025-01-02,Google Ads,Android,Nigeria
U00071,2025-03-25,Referral,Android,Nigeria
U00072,2025-04-02,Facebook Ads,Android,Nigeria
U00073,2025-04-21,Referral,Android,Nigeria
